"Order #","MSS PO","Enrollment #","Order Recv. Date","Date ORD ACK","Customer Name","SKU Ordered",Appliance,Qty,"Service SKU","Service Level",Address,City,State,Postal,Country,"Serial #","Expected ship date","Actual Ship Date","INCO Terms",Carrier,"Tracking #","Customs Arrival Date","Final Delivery Date"
013569,6000414521,84402416,12/30/2016,12/30/2016,"Drax Power Ltd",3M2-00002,8600,4.00,3M2-00005,Standard,"Drax Power Station, Drax",Selby,,"YO8 8PH","United Kingdom","SHG0997877L7H81
SHG0997877L7JDJ
SHG0997877L7JDC
SHG0997877L7JDK",,01/09/2017,DDP,DHL,7216381336,01/11/2017,01/19/2017
013567,6000414503,71931742,12/30/2016,12/30/2016,"NEC Corporation",3M2-00001,8100,2.00,3M2-00006,Premium,"Gotanda AN Bld.6F, Higashigotanda,",Shinagawa-ku,Tokyo,141-0022,Japan,"SHG0997879L7HYN
SHG0997879L7HYD",,01/03/2017,DAP,DHL,7403281384,01/08/2017,01/12/2017
013565,6000414357,SHG0997877L7559,12/29/2016,01/05/2017,Microsoft,,,,3M2-00005,Standard,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/05/2017,,FEDEX,,,
013564,6000414356,SHG0997879L71FX,12/29/2016,01/05/2017,Microsoft,,,,3M2-00005,Standard,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/05/2017,,FEDEX,,,
013561,6000414273,SHG0997879L743K,12/29/2016,01/03/2017,Microsoft,,,,3M2-00005,Standard,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/03/2017,,FEDEX,,,
013560,6000414121,89499241,12/28/2016,12/28/2016,"CAPGEMINI EQUINIX POUR TECHNIPNET",3M2-00002,8600,3.00,3M2-00006,Premium,"114 rue ambroise croizat, POD 120-1","Saint - Denis",,93400,France,"SHG0997877L7GHY
SHG0997877L7GV3
SHG0997877L7GV6",,01/06/2017,DDP,DHL,7216381303,01/11/2017,01/17/2017
013559,6000414122,73001312,12/28/2016,12/28/2016,"Syngenta Crop Protection AG",3M2-00001,8100,1.00,3M2-00005,Standard,"Schwarzwaldallee 215, Zentrale Ware",Basel,Switzerland,4002,Switzerland,SHG0997879L7J16,,01/10/2017,DDP,DHL,7203281406,01/12/2017,01/18/2017
013557,6000413843,SHG0997879L73MQ,12/27/2016,12/28/2016,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,12/28/2016,,FEDEX,,,
013556,6000413842,SHG0997879L736M,12/27/2016,12/28/2016,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,12/28/2016,,FEDEX,,,
013553,470026183,N/A,12/27/2016,,"DSM05 Loading Dock",3M2-00001,8100,2.00,3M2-00005,Standard,"3590 South 8th Street ","Des Moines",IA,50266,"United States","SHG0997879L7HYR
SHG0997879L7J17",,12/29/2016,,FEDEX,701542244721,01/03/2017,01/03/2017
013551,6000413593,8292778,12/27/2016,12/28/2016,"Nexsys de Chile SA",3M2-00001,8100,1.00,3M2-00005,Standard,"San Sebastián 2839 Oficina 702","Las Condes",RM,,Chile,SHG0997879L7J26,,01/03/2017,DAP,DHL,7403281395,01/06/2017,02/08/2017
013550,6000413106,"FSR 10697",12/22/2016,,Boskalis,3M2-00002,8600,1.00,,,"Van Coulsterweg 6, 2952CB Alblasser",Alblasserdam,,2952CB,Netherlands,SHG0997877L7H3X,,12/22/2016,DDP,DHL,IRONDELIVERY,01/03/2017,01/06/2017
013549,6000413083,67584280,12/22/2016,12/22/2016,"SB International Trade Colombia",3M2-00002,8600,1.00,3M2-00005,Standard,"Cra 106 NO. 15A-25 MZ 24 Int 144",Bogota,Bogota,0000,Colombia,SHG0997877L7GR1,,01/06/2017,DAP,DHL,7216381292,01/10/2017,01/17/2017
